image_url,sound_url,place_country_name,place_admin1_name,place_admin2_name,scientific_name
https://inaturalist-open-data.s3.amazonaws.com/photos/1088121/medium.JPG,,France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Myotis daubentonii
https://inaturalist-open-data.s3.amazonaws.com/photos/1608860/medium.JPG,,France,Picardie,Aisne,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/1608861/medium.JPG,,France,Picardie,Aisne,Plecotus auritus
https://inaturalist-open-data.s3.amazonaws.com/photos/1608862/medium.JPG,,France,Picardie,Aisne,Myotis daubentonii
https://inaturalist-open-data.s3.amazonaws.com/photos/2427084/medium.JPG,,France,Franche-Comté,Jura,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/2455987/medium.JPG,,France,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Pipistrellus pygmaeus
https://inaturalist-open-data.s3.amazonaws.com/photos/2548470/medium.jpg,,France,Rhône-Alpes,Isère,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/2967322/medium.JPG,,France,Corse,Haute-Corse,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/2967335/medium.JPG,,France,Auvergne,Puy-de-Dôme,Myotis myotis
https://inaturalist-open-data.s3.amazonaws.com/photos/3021830/medium.JPG,,France,Languedoc-Roussillon,Hérault,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/3024385/medium.JPG,,France,Auvergne,Puy-de-Dôme,Myotis myotis
https://inaturalist-open-data.s3.amazonaws.com/photos/3035923/medium.jpg,,France,Languedoc-Roussillon,Hérault,Nyctalus leisleri
https://inaturalist-open-data.s3.amazonaws.com/photos/4965923/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus
https://inaturalist-open-data.s3.amazonaws.com/photos/5831400/medium.jpeg,,France,Picardie,Aisne,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/5855741/medium.jpeg,,France,Rhône-Alpes,Isère,Nyctalus leisleri
